TIMESTAMP | LEVEL | TYPE | APPLICATION | DETAILS
2025-06-01 19:20:06.712 | HIGH | EXCESSIVE_DENIES | GenericUDP | Application 'GenericUDP' has 815 denied requests in the last 60 seconds.
2025-06-01 19:20:07.139 | HIGH | EXCESSIVE_DENIES | GenericUDP | Application 'GenericUDP' has 816 denied requests in the last 60 seconds.
2025-06-01 19:20:07.329 | HIGH | EXCESSIVE_DENIES | GenericUDP | Application 'GenericUDP' has 817 denied requests in the last 60 seconds.
2025-06-01 19:20:07.384 | HIGH | EXCESSIVE_DENIES | GenericUDP | Application 'GenericUDP' has 818 denied requests in the last 60 seconds.
2025-06-01 19:20:07.453 | HIGH | EXCESSIVE_DENIES | GenericUDP | Application 'GenericUDP' has 819 denied requests in the last 60 seconds.
2025-06-01 19:20:07.480 | HIGH | EXCESSIVE_DENIES | GenericUDP | Application 'GenericUDP' has 820 denied requests in the last 60 seconds.
2025-06-01 19:20:07.496 | HIGH | EXCESSIVE_DENIES | GenericUDP | Application 'GenericUDP' has 821 denied requests in the last 60 seconds.
2025-06-01 19:20:07.512 | HIGH | EXCESSIVE_DENIES | GenericUDP | Application 'GenericUDP' has 822 denied requests in the last 60 seconds.
2025-06-01 19:20:07.526 | HIGH | EXCESSIVE_DENIES | GenericUDP | Application 'GenericUDP' has 823 denied requests in the last 60 seconds.
2025-06-01 19:20:07.533 | HIGH | EXCESSIVE_DENIES | GenericUDP | Application 'GenericUDP' has 824 denied requests in the last 60 seconds.
2025-06-01 19:20:07.555 | HIGH | EXCESSIVE_DENIES | GenericUDP | Application 'GenericUDP' has 825 denied requests in the last 60 seconds.
2025-06-01 19:20:07.565 | HIGH | EXCESSIVE_DENIES | GenericUDP | Application 'GenericUDP' has 826 denied requests in the last 60 seconds.
2025-06-01 19:20:07.575 | HIGH | EXCESSIVE_DENIES | GenericUDP | Application 'GenericUDP' has 827 denied requests in the last 60 seconds.
2025-06-01 19:20:07.586 | HIGH | EXCESSIVE_DENIES | GenericUDP | Application 'GenericUDP' has 828 denied requests in the last 60 seconds.
2025-06-01 19:20:07.602 | HIGH | EXCESSIVE_DENIES | GenericUDP | Application 'GenericUDP' has 829 denied requests in the last 60 seconds.
2025-06-01 19:20:07.618 | HIGH | EXCESSIVE_DENIES | GenericUDP | Application 'GenericUDP' has 830 denied requests in the last 60 seconds.
2025-06-01 19:20:07.633 | HIGH | EXCESSIVE_DENIES | GenericUDP | Application 'GenericUDP' has 831 denied requests in the last 60 seconds.
2025-06-01 19:20:07.648 | HIGH | EXCESSIVE_DENIES | GenericUDP | Application 'GenericUDP' has 832 denied requests in the last 60 seconds.
2025-06-01 19:20:07.670 | HIGH | EXCESSIVE_DENIES | GenericUDP | Application 'GenericUDP' has 833 denied requests in the last 60 seconds.
2025-06-01 19:20:07.679 | HIGH | EXCESSIVE_DENIES | GenericUDP | Application 'GenericUDP' has 834 denied requests in the last 60 seconds.
2025-06-01 19:20:07.686 | HIGH | EXCESSIVE_DENIES | GenericUDP | Application 'GenericUDP' has 835 denied requests in the last 60 seconds.
2025-06-01 19:20:07.700 | HIGH | EXCESSIVE_DENIES | GenericUDP | Application 'GenericUDP' has 836 denied requests in the last 60 seconds.
2025-06-01 19:20:07.731 | HIGH | EXCESSIVE_DENIES | GenericUDP | Application 'GenericUDP' has 837 denied requests in the last 60 seconds.
2025-06-01 19:20:07.755 | HIGH | EXCESSIVE_DENIES | GenericUDP | Application 'GenericUDP' has 838 denied requests in the last 60 seconds.
2025-06-01 19:20:07.772 | HIGH | EXCESSIVE_DENIES | GenericUDP | Application 'GenericUDP' has 839 denied requests in the last 60 seconds.
2025-06-01 19:20:07.784 | HIGH | EXCESSIVE_DENIES | GenericUDP | Application 'GenericUDP' has 840 denied requests in the last 60 seconds.
2025-06-01 19:20:07.810 | HIGH | EXCESSIVE_DENIES | GenericUDP | Application 'GenericUDP' has 841 denied requests in the last 60 seconds.
2025-06-01 19:20:07.819 | HIGH | EXCESSIVE_DENIES | GenericUDP | Application 'GenericUDP' has 842 denied requests in the last 60 seconds.
2025-06-01 19:20:07.881 | HIGH | EXCESSIVE_DENIES | HTTPS | Application 'HTTPS' has 36 denied requests in the last 60 seconds.
2025-06-01 19:20:07.914 | HIGH | EXCESSIVE_DENIES | GenericUDP | Application 'GenericUDP' has 843 denied requests in the last 60 seconds.
2025-06-01 19:20:08.026 | HIGH | EXCESSIVE_DENIES | GenericUDP | Application 'GenericUDP' has 844 denied requests in the last 60 seconds.
2025-06-01 19:20:08.133 | HIGH | EXCESSIVE_DENIES | GenericUDP | Application 'GenericUDP' has 845 denied requests in the last 60 seconds.
2025-06-01 19:20:08.186 | HIGH | EXCESSIVE_DENIES | GenericUDP | Application 'GenericUDP' has 846 denied requests in the last 60 seconds.
2025-06-01 19:20:08.233 | HIGH | EXCESSIVE_DENIES | GenericUDP | Application 'GenericUDP' has 847 denied requests in the last 60 seconds.
2025-06-01 19:20:08.402 | HIGH | EXCESSIVE_DENIES | GenericUDP | Application 'GenericUDP' has 848 denied requests in the last 60 seconds.
2025-06-01 19:20:08.583 | HIGH | EXCESSIVE_DENIES | GenericUDP | Application 'GenericUDP' has 849 denied requests in the last 60 seconds.
2025-06-01 19:20:08.801 | HIGH | EXCESSIVE_DENIES | GenericUDP | Application 'GenericUDP' has 850 denied requests in the last 60 seconds.
2025-06-01 19:20:08.829 | HIGH | EXCESSIVE_DENIES | GenericUDP | Application 'GenericUDP' has 851 denied requests in the last 60 seconds.
2025-06-01 19:20:08.878 | HIGH | EXCESSIVE_DENIES | GenericUDP | Application 'GenericUDP' has 852 denied requests in the last 60 seconds.
2025-06-01 19:20:08.898 | HIGH | EXCESSIVE_DENIES | GenericUDP | Application 'GenericUDP' has 853 denied requests in the last 60 seconds.
2025-06-01 19:20:08.910 | HIGH | EXCESSIVE_DENIES | GenericUDP | Application 'GenericUDP' has 854 denied requests in the last 60 seconds.
2025-06-01 19:20:08.914 | HIGH | EXCESSIVE_DENIES | GenericUDP | Application 'GenericUDP' has 855 denied requests in the last 60 seconds.
